Rank,Symbol,price,dma50,dma150,dma200,dma200_rising,avg_vol,vol_ratio,turnover_cr,high_52w,low_52w,pct_from_high,rs_raw,score_rs,score_vol,score_earn,score_tech,Score
19,THYROCARE,547.95,439.325,436.43186666666674,432.05244999999996,True,590398.64,2.3868669480674956,32.3508934788,547.95,317.6,0.0,26.415964932518186,25.0,67.85714285714286,50.0,48.57142857142857,43.29
20,SENORES,1094.5,940.2919999999999,841.686,809.8430000000001,True,450188.74,1.5295096007954352,49.273157593,1155.15,515.4,0.052504003809029205,39.329132454967876,46.42857142857143,3.571428571428571,50.0,62.85714285714286,41.86
21,ASTERDM,790.35,713.559,656.3323333333333,654.21775,True,896916.44,2.5896860581572128,70.8877908354,790.35,537.95,0.0,20.581280036616057,17.857142857142858,75.0,50.0,34.285714285714285,39.0
22,NETWEB,4428.2,3888.414,3497.07,3432.081,True,1818116.42,1.5428137434675389,805.0983131044,4934.2,1721.6,0.10254955210571116,37.907194020554336,42.857142857142854,7.142857142857142,50.0,51.42857142857143,38.86
23,AKUMS,548.25,526.085,475.055,472.1785,True,229382.68,1.6918278223970529,12.575905431,594.0,414.05,0.07702020202020202,30.272068432933352,32.142857142857146,25.0,50.0,28.57142857142857,33.57
24,VIYASH,257.4,220.65220000000002,213.8312,208.31285,True,2019784.7,1.6689219400463822,51.989258178,261.94,168.04,0.017332213484004048,21.055354371443347,21.428571428571427,21.428571428571427,50.0,45.71428571428572,32.0
25,DIVISLAB,6753.0,6448.29,6381.06,6325.455,True,356255.98,2.5604594763574218,240.579663294,6983.5,5689.5,0.03300637216295554,4.616576297443853,3.571428571428571,71.42857142857143,50.0,22.857142857142858,30.29
26,CCL,1149.1,1101.728,1025.4083333333333,988.0915000000001,True,409271.78,1.9509896333433983,47.0294202398,1207.8,786.25,0.048600761715515854,14.955982392957168,7.142857142857142,46.42857142857143,50.0,31.42857142857143,28.43
27,EQUITASBNK,74.98,66.0038,64.16106666666667,61.98609999999999,True,4555868.02,1.6433577459076614,34.15989841396,74.98,50.27,0.0,19.20508744038156,14.285714285714285,14.285714285714285,50.0,37.14285714285714,26.0
28,AJANTPHARM,3017.2,2932.248,2810.4006666666664,2735.6805000000004,True,120770.5,1.6481342712003346,36.438875259999996,3259.2,2388.4,0.0742513500245459,15.747880461886687,10.714285714285714,17.857142857142858,50.0,25.714285714285715,23.0
